delta	owner	posture	reason
dynamic_cognitive_target_arbitration	future interlock	DEFERRED	I04 preserves exact active bindings
recursive_capability_graphs	future evidence gate	DEFERRED	I04 admits one explicit prerequisite only
automatic_conversation_host_routing	future chat integration	DEFERRED	Advanced composition is frontend-independent plumbing
production_speech_and_vision_targets	provider/operator	DEFERRED	loopback proves the generic boundary without product onboarding
public_yvex_typed_media_adapter	YVEX/provider integration	AWAITING_EXTERNAL_CONTRACT	no private protocol consumed and no live endpoint supplied
non_text_generated_content	future content/provider work	DEFERRED	I03/I04 normalize admitted auxiliary output to bounded text
provider_streaming	future provider work	DEFERRED	buffered providers remain valid
product_chat_frontend	Replia/YAI frontend integration	DEFERRED	no terminal mechanics or Product yai chat in I04
H20	Foundation roadmap	NOT_STARTED	not authorized by I04
W21	Foundation roadmap	NOT_STARTED	not authorized by I04
W22	Foundation roadmap	NOT_STARTED	not authorized by I04
